depot_warehouse_name,demand,demand_growth_rate,possible_truck_size,maximum_warehouse_size,depo_distance,wh1_distance,wh2_distance,wh3_distance,wh4_distance,wh5_distance,wh6_distance,wh7_distance,wh8_distance,wh9_distance,wh10_distance,wh11_distance,wh12_distance,wh13_distance,wh14_distance,wh15_distance
D1,0,0.0041,320,,0,1.0289,1.3505,1.5916,1.5916,1.5916,1.7588,1.9453,1.7203,1.865,1.9293,1.865,2.2186,2.2026,2.508,2.4598
W1,0.638599719,0.0041,320,320,1.0289,0,0.3215,0.8521,0.7717,0.627,0.7299,0.9164,0.6913,0.836,0.9003,0.836,1.1897,1.1736,1.4791,1.4309
W2,1.177062205,0.0041,320,320,1.3505,0.3215,0,0.9325,0.836,0.5949,0.5305,0.836,0.3537,0.5145,0.5788,0.5145,1.2379,0.8682,1.1897,1.3023
W3,0.484496312,0.0041,320,320,1.5916,0.8521,0.9325,0,0.1977,0.5145,0.6913,0.8842,1.254,1.3344,1.4469,1.4791,1.2701,1.6399,1.4791,1.4309
W4,1.177062205,0.0041,320,320,1.5916,0.7717,0.836,0.1977,0,0.418,0.5949,0.7717,1.1576,1.2379,1.3344,1.3344,1.1576,1.5273,1.3666,1.3183
W5,2.000346162,0.0041,320,320,1.5916,0.627,0.5949,0.5145,0.418,0,0.2363,0.4341,0.9486,0.9646,1.0289,1.2379,0.8199,1.1897,1.0289,0.9807
W6,1.882819829,0.0041,320,320,1.7588,0.7299,0.5305,0.6913,0.5949,0.2363,0,0.3055,0.8521,0.8039,0.8682,1.0772,0.6913,1.0611,0.9003,0.8521
W7,2.61136317,0.0041,320,20,1.9453,0.9164,0.836,0.8842,0.7717,0.4341,0.3055,0,1.1576,1.1576,1.2379,1.4309,0.3859,0.7556,0.5949,0.5466
W8,0.823883581,0.0041,320,320,1.7203,0.6913,0.3537,1.254,1.1576,0.9486,0.8521,1.1576,0,0.5627,0.6109,0.4502,1.3666,0.9968,1.3183,1.4309
W9,0.706357248,0.0041,320,320,1.865,0.836,0.5145,1.3344,1.2379,0.9646,0.8039,1.1576,0.5627,0,0.3135,0.3215,0.9968,0.627,0.9486,1.0611
W10,0.588231291,0.0041,320,320,1.9293,0.9003,0.5788,1.4469,1.3344,1.0289,0.8682,1.2379,0.6109,0.3135,0,0.2412,1.0129,0.6431,0.9646,1.0772
W11,0.706357248,0.0041,320,320,1.865,0.836,0.5145,1.4791,1.3344,1.2379,1.0772,1.4309,0.4502,0.3215,0.2412,0,1.2219,0.8521,1.1736,1.2862
W12,2.269577405,0.0041,320,20,2.2186,1.1897,1.2379,1.2701,1.1576,0.8199,0.6913,0.3859,1.3666,0.9968,1.0129,1.2219,0,0.3698,0.672,0.6624
W13,1.905605546,0.0041,320,20,2.2026,1.1736,0.8682,1.6399,1.5273,1.1897,1.0611,0.7556,0.9968,0.627,0.6431,0.8521,0.3698,0,0.3215,0.4341
W14,2.622756029,0.0041,320,20,2.508,1.4791,1.1897,1.4791,1.3666,1.0289,0.9003,0.5949,1.3183,0.9486,0.9646,1.1736,0.672,0.3215,0,0.1286
W15,1.905605546,0.0041,320,20,2.4598,1.4309,1.3023,1.4309,1.3183,0.9807,0.8521,0.5466,1.4309,1.0611,1.0772,1.2862,0.6624,0.4341,0.1286,0
