depot_warehouse_name,demand,demand_growth_rate,possible_truck_size,maximum_warehouse_size,depo_distance,wh1_distance,wh2_distance,wh3_distance,wh4_distance,wh5_distance,wh6_distance,wh7_distance,wh8_distance,wh9_distance,wh10_distance,wh11_distance,wh12_distance,wh13_distance,wh14_distance,wh15_distance
depo,0,0.0041,320,,0,1.0289,1.3505,1.5916,1.5916,1.5916,1.7588,1.9453,1.7203,1.865,1.9293,1.865,2.2186,2.2026,2.508,2.4598
wh.1,0.833166085,0.0041,320,320,1.0289,0,0.3215,0.8521,0.7717,0.627,0.7299,0.9164,0.6913,0.836,0.9003,0.836,1.1897,1.1736,1.4791,1.4309
wh.2,1.535685469,0.0041,320,320,1.3505,0.3215,0,0.9325,0.836,0.5949,0.5305,0.836,0.3537,0.5145,0.5788,0.5145,1.2379,0.8682,1.1897,1.3023
wh.3,3.761373274,0.0041,320,20,1.5916,0.8521,0.9325,0,0.1977,0.5145,0.6913,0.8842,1.254,1.3344,1.4469,1.4791,1.2701,1.6399,1.4791,1.4309
wh.4,3.100316615,0.0041,320,20,1.5916,0.7717,0.836,0.1977,0,0.418,0.5949,0.7717,1.1576,1.2379,1.3344,1.3344,1.1576,1.5273,1.3666,1.3183
wh.5,3.392120323,0.0041,320,20,1.5916,0.627,0.5949,0.5145,0.418,0,0.2363,0.4341,0.9486,0.9646,1.0289,1.2379,0.8199,1.1897,1.0289,0.9807
wh.6,1.674155326,0.0041,320,320,1.7588,0.7299,0.5305,0.6913,0.5949,0.2363,0,0.3055,0.8521,0.8039,0.8682,1.0772,0.6913,1.0611,0.9003,0.8521
wh.7,1.842353174,0.0041,320,320,1.9453,0.9164,0.836,0.8842,0.7717,0.4341,0.3055,0,1.1576,1.1576,1.2379,1.4309,0.3859,0.7556,0.5949,0.5466
wh.8,1.074901597,0.0041,320,320,1.7203,0.6913,0.3537,1.254,1.1576,0.9486,0.8521,1.1576,0,0.5627,0.6109,0.4502,1.3666,0.9968,1.3183,1.4309
wh.9,0.921567745,0.0041,320,320,1.865,0.836,0.5145,1.3344,1.2379,0.9646,0.8039,1.1576,0.5627,0,0.3135,0.3215,0.9968,0.627,0.9486,1.0611
wh.10,0.767451577,0.0041,320,320,1.9293,0.9003,0.5788,1.4469,1.3344,1.0289,0.8682,1.2379,0.6109,0.3135,0,0.2412,1.0129,0.6431,0.9646,1.0772
wh.11,0.921567745,0.0041,320,320,1.865,0.836,0.5145,1.4791,1.3344,1.2379,1.0772,1.4309,0.4502,0.3215,0.2412,0,1.2219,0.8521,1.1736,1.2862
wh.12,0.614117725,0.0041,320,320,2.2186,1.1897,1.2379,1.2701,1.1576,0.8199,0.6913,0.3859,1.3666,0.9968,1.0129,1.2219,0,0.3698,0.672,0.6624
wh.13,2.48619889,0.0041,320,20,2.2026,1.1736,0.8682,1.6399,1.5273,1.1897,1.0611,0.7556,0.9968,0.627,0.6431,0.8521,0.3698,0,0.3215,0.4341
wh.14,3.421848315,0.0041,320,20,2.508,1.4791,1.1897,1.4791,1.3666,1.0289,0.9003,0.5949,1.3183,0.9486,0.9646,1.1736,0.672,0.3215,0,0.1286
wh.15,2.48619889,0.0041,320,20,2.4598,1.4309,1.3023,1.4309,1.3183,0.9807,0.8521,0.5466,1.4309,1.0611,1.0772,1.2862,0.6624,0.4341,0.1286,0
